Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
297.0,7.70693,559.6480012633002,7.70693,-0.03005086130768575
298.0,7.70783,559.7029627292363,7.70693,-0.03006082607869942
299.0,7.70618,559.7579241951726,7.70642,-0.030580820779578133
300.0,7.70642,559.8128856611088,7.70618,-0.030830845927315664
301.0,7.70601,559.867847127045,7.70642,-0.030600901770473143
302.0,7.70678,559.9228085929813,7.70601,-0.031020988080400436
303.0,7.70535,559.9777700589175,7.70641,-0.03063110527473789
304.0,7.70641,560.0327315248537,7.70641,-0.030641252965822652
305.0,7.71025,560.08769299079,7.71025,-0.02681143116371487
306.0,7.71074,560.1426544567262,7.71074,-0.02633163605993971
307.0,7.71186,560.1976159226624,7.71074,-0.02634186717726461
308.0,7.70949,560.2525773885986,7.70949,-0.027602124525843763
309.0,7.70858,560.3075388545348,7.70858,-0.028522409359067247
310.0,7.70715,560.362500320471,7.70715,-0.029962722592112634
311.0,7.70689,560.4174617864072,7.70715,-0.029973065657156184
312.0,7.70922,560.4724232523434,7.70922,-0.02791343856445483
313.0,7.70937,560.5273847182797,7.70937,-0.027773839265901046
314.0,7.70978,560.5823461842159,7.70937,-0.027784267622638303
315.0,7.70666,560.6373076501521,7.70692,-0.030244723645011184
316.0,7.70692,560.6922691160884,7.70692,-0.030255209779634917
317.0,7.70726,560.7472305820246,7.70692,-0.030265726036907914
318.0,7.70661,560.8021920479608,7.70684,-0.030356272427257025
319.0,7.70684,560.8571535138971,7.70661,-0.030596849040680496
320.0,7.70483,560.9121149798332,7.70581,-0.0314074561163471
321.0,7.70581,560.9670764457694,7.70581,-0.03141809446013344
322.0,7.70602,561.0220379117056,7.70602,-0.03121876408258828
323.0,7.70791,561.0769993776419,7.70791,-0.029339464785512526
324.0,7.71029,561.1319608435781,7.70878,-0.028480194700355455
325.0,7.70878,561.1869223095143,7.70886,-0.028410952972643067
326.0,7.70886,561.2418837754506,7.70878,-0.028501739533491666
327.0,7.70857,561.2968452413868,7.70886,-0.028432554473155847
328.0,7.70895,561.351806707323,7.70895,-0.028353397722808538
329.0,7.70943,561.4067681732593,7.70905,-0.028264269203705616
330.0,7.70905,561.4617296391955,7.70943,-0.027895168827188677
331.0,7.71204,561.5166911051316,7.70905,-0.028286096226177726
332.0,7.70729,561.5716525710678,7.70729,-0.030057051789402323
333.0,7.70635,561.6266140370041,7.70635,-0.031008037277794998
334.0,7.70563,561.6815755029403,7.70563,-0.03173905363682383
335.0,7.70488,561.7365369688765,7.70563,-0.03175010159320468
336.0,7.70672,561.7914984348128,7.70563,-0.03176118115788995
337.0,7.70563,561.846459900749,7.70672,-0.03068229234186326
338.0,7.71112,561.9014213666852,7.70887,-0.028543434072496154
339.0,7.70887,561.9563828326214,7.70949,-0.027934604223070814
340.0,7.70949,562.0113442985577,7.70887,-0.028565802188118994
341.0,7.70698,562.0663057644939,7.70935,-0.028097028595295725
342.0,7.70935,562.12126723043,7.70935,-0.0281082829784145
343.0,7.71034,562.1762286963663,7.70935,-0.02811956534863924
344.0,7.70878,562.2311901623025,7.70878,-0.028700875717160734
345.0,7.70741,562.2861516282387,7.70878,-0.028712214662012236
346.0,7.7101,562.341113094175,7.7101,-0.027403582194438947
347.0,7.71377,562.3960745601112,7.71155,-0.025964977013056334
348.0,7.71155,562.4510360260474,7.71155,-0.02597639768705573
349.0,7.71089,562.5059974919836,7.71089,-0.02664784422777089
350.0,7.70652,562.5609589579199,7.70937,-0.028179317302991613
351.0,7.70937,562.6159204238561,7.70937,-0.028190818435725795
352.0,7.71135,562.6708818897923,7.71135,-0.026222347637382626
353.0,7.71135,562.7258433557286,7.71135,-0.026233902950271393
354.0,7.70982,562.7808048216647,7.70982,-0.02777548438585775
355.0,7.70859,562.8357662876009,7.70982,-0.027787093477254388
356.0,7.71112,562.8907277535371,7.71023,-0.027388730235977654
357.0,7.71023,562.9456892194734,7.71023,-0.027400394265838734
358.0,7.70846,563.0006506854096,7.70846,-0.029182085578408845
359.0,7.70747,563.0556121513458,7.70846,-0.02919380594538179
360.0,7.70944,563.1105736172821,7.70944,-0.02822555537838145
361.0,7.71015,563.1655350832183,7.71015,-0.027527332914582203
362.0,7.71108,563.2204965491545,7.71015,-0.027539137859613483
363.0,7.70966,563.2754580150907,7.71051,-0.027190970225185573
364.0,7.71051,563.330419481027,7.71051,-0.02720282966502019
365.0,7.71231,563.3853809469631,7.71231,-0.02541471619088309
366.0,7.71321,563.4403424128993,7.71321,-0.02452662802433281
367.0,7.71405,563.4953038788356,7.71337,-0.024378564281967385
368.0,7.71337,563.5502653447718,7.71337,-0.02439052481647419
369.0,7.71309,563.605226810708,7.71337,-0.024402509639726233
370.0,7.71362,563.6601882766442,7.71339,-0.02439451876361698
371.0,7.71339,563.7151497425805,7.71362,-0.024176552180171562
372.0,7.71455,563.7701112085167,7.71402,-0.02378860967254237
373.0,7.71402,563.8250726744529,7.71402,-0.0238006908547872
374.0,7.71279,563.8800341403892,7.71303,-0.02480279573889721
375.0,7.71303,563.9349956063254,7.71279,-0.025054925321684962
376.0,7.71213,563.9899570722615,7.71213,-0.02572707985391265
377.0,7.71208,564.0449185381977,7.71213,-0.02573926000410598
378.0,7.71238,564.099880004134,7.71238,-0.02550146578435264
379.0,7.71447,564.1548414700702,7.71407,-0.02382369695810649
380.0,7.71407,564.2098029360064,7.71407,-0.02383595185645415
381.0,7.71369,564.2647644019427,7.71369,-0.024228230491560865
382.0,7.71207,564.3197258678789,7.71207,-0.0258605332536197
383.0,7.71147,564.3746873338151,7.71147,-0.026472861766204225
384.0,7.7109,564.4296487997514,7.71147,-0.026485216638288733
385.0,7.71233,564.4846102656876,7.71233,-0.025637597882131047
386.0,7.71339,564.5395717316238,7.71339,-0.0245900046546792
387.0,7.71428,564.5945331975599,7.7137,-0.024292435913909394
388.0,7.7137,564.6494946634962,7.7137,-0.0243048913637951
389.0,7.71257,564.7044561294324,7.7137,-0.024317371016699063
390.0,7.7139,564.7594175953686,7.7139,-0.024129874885006508
391.0,7.7166,564.8143790613049,7.7166,-0.021442402782181347
392.0,7.72106,564.8693405272411,7.72106,-0.016994952034538713
393.0,7.72807,564.9243019931773,7.72807,-0.00999751821606143
394.0,7.73677,564.9792634591136,7.73677,-0.0013100943595043546
395.0,7.74716,565.0342249250498,7.74716,0.009067328191118662
396.0,7.75163,565.089186390986,7.75163,0.013524759784456108
397.0,7.75632,565.1441478569222,7.75632,0.018202204868511096
398.0,7.76641,565.1991093228585,7.76641,0.02827966811272642
399.0,7.79094,565.2540707887946,7.79094,0.0527971595839567
400.0,7.83789,565.3090322547308,7.83789,0.09973470381170912
401.0,7.91224,565.363993720667,7.91224,0.17407224803946253
402.0,7.97615,565.4189551866033,7.97615,0.23796979226721504
403.0,8.00798,565.4739166525395,8.00798,0.2697873364949679
404.0,8.01439,565.5288781184757,8.00979,0.27158488072272124
405.0,8.00979,565.583839584412,8.00979,0.27157242495047473
406.0,8.00076,565.6388010503482,8.00076,0.26252996917822724
407.0,7.99498,565.6937625162844,7.99498,0.25673751340598105
408.0,7.98712,565.7487239822207,7.98712,0.24886505763373457
409.0,7.9774,565.8036854481569,7.9774,0.23913260186148833
410.0,7.95289,565.858646914093,7.95289,0.21461014608924156
411.0,7.9096,565.9136083800292,7.9096,0.17130769031699433
412.0,7.86528,565.9685698459655,7.86528,0.1269752345447479
413.0,7.83037,566.0235313119017,7.83037,0.0920527787725014
414.0,7.81015,566.0784927778379,7.81015,0.07182032300025387
415.0,7.79763,566.1334542437742,7.79763,0.059287867228005275
416.0,7.79293,566.1884157097104,7.79293,0.05457547071408797
417.0,7.78914,566.2433771756466,7.78914,0.0507731287369122
418.0,7.78745,566.2983386415829,7.78745,0.04907083748816454
419.0,7.78487,566.3533001075191,7.78487,0.04647859526327025
420.0,7.78347,566.4082615734553,7.78347,0.045066399467043716
421.0,7.77201,566.4632230393914,7.77201,0.03359424868591354
422.0,7.75841,566.5181845053277,7.75841,0.019982131443565976
423.0,7.73913,566.5731459712639,7.73913,0.0006900341382136688
424.0,7.72846,566.6281074372001,7.72846,-0.009992062479258657
425.0,7.72065,566.6830689031364,7.72065,-0.017814169052862816
426.0,7.71804,566.7380303690726,7.71804,-0.020436293370360126
427.0,7.71795,566.7929918350088,7.71795,-0.02053843804112443
428.0,7.71599,566.847953300945,7.71599,-0.02251060316676945
