Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
347.0,0.788899,564.73336143817,0.787481,-0.004654174821719148
348.0,0.786433,564.788266235764,0.787747,-0.0043897017271452565
349.0,0.787747,564.843171033358,0.787747,-0.004391232999384154
350.0,0.788242,564.898075830952,0.788242,-0.0038977686399512823
351.0,0.791062,564.952980628546,0.790396,-0.0017453081588298947
352.0,0.790396,565.0078854261401,0.791062,-0.0010808494160182702
353.0,0.793218,565.062790223734,0.790586,-0.0015583917500493483
354.0,0.790586,565.117695021328,0.790586,-0.0015599356363530381
355.0,0.790156,565.1725998189221,0.790586,-0.001561481076464477
356.0,0.791416,565.2275046165161,0.791416,-0.0007330280719201054
357.0,0.792425,565.28240941411,0.792425,0.0002744242022003629
358.0,0.792958,565.3373142117041,0.792958,0.0008058767498961839
359.0,0.803215,565.3922190092981,0.803215,0.011061330101171385
360.0,0.812071,565.4471238068921,0.812071,0.0199157834524466
361.0,0.816054,565.5020286044861,0.812672,0.020515236803721693
362.0,0.812672,565.5569334020801,0.816054,0.02389569015499693
363.0,0.816236,565.6118381996741,0.812672,0.020512143506272174
364.0,0.811568,565.6667429972681,0.814516,0.022354596857547482
365.0,0.814516,565.7216477948622,0.812975,0.020812050208822708
366.0,0.812975,565.7765525924561,0.812975,0.020810503560097948
367.0,0.812138,565.8314573900501,0.812663,0.02049695691137321
368.0,0.812663,565.8863621876442,0.812466,0.020298410262648447
369.0,0.812466,565.9412669852381,0.812466,0.0202968636139238
370.0,0.800139,565.9961717828321,0.800522,0.008351316965199085
371.0,0.800522,566.0510765804262,0.800139,0.007966770316474414
372.0,0.795006,566.1059813780201,0.796189,0.0040152236677496456
373.0,0.796189,566.1608861756142,0.795602,0.0034266810286410765
374.0,0.795602,566.2157909732082,0.795602,0.003425141810500576
375.0,0.794431,566.2706957708021,0.794431,0.002252606011785452
376.0,0.793591,566.3256005683962,0.794431,0.0022510724607049948
377.0,0.79514,566.3805053659902,0.79514,0.002958541155725025
378.0,0.801579,566.4354101635843,0.79514,0.00295701280370686
379.0,0.793958,566.4903149611782,0.793958,0.0017734874031201109
380.0,0.792963,566.5452197587722,0.792963,0.0007769637717101041
381.0,0.791881,566.6001245563663,0.791881,-0.000306559084979674
382.0,0.788791,566.6550293539602,0.790085,-0.0021040822471908305
383.0,0.790085,566.7099341515542,0.788791,-0.003399607504632751
384.0,0.788333,566.7648389491483,0.788333,-0.0038591361453651496
385.0,0.787877,566.8197437467422,0.788333,-0.003860668625896846
386.0,0.803902,566.8746485443363,0.788085,-0.004110204947745721
387.0,0.788085,566.9295533419303,0.788421,-0.0037757453587249357
388.0,0.788421,566.9844581395242,0.788085,-0.004113289526662123
389.0,0.78567,567.0393629371183,0.788421,-0.003778837786783673
390.0,0.78999,567.0942677347123,0.78999,-0.0022113898069267
391.0,0.790337,567.1491725323064,0.78999,-0.0022129440290287183
392.0,0.787853,567.2040773299003,0.787853,-0.004351500454633173
393.0,0.787467,567.2589821274943,0.787467,-0.004739061208918427
394.0,0.78589,567.3138869250884,0.787127,-0.005080626676569278
395.0,0.787127,567.3687917226823,0.787127,-0.005082197196501492
396.0,0.788763,567.4236965202763,0.787127,-0.005083772770267725
397.0,0.786501,567.4786013178704,0.786501,-0.005711353399425412
398.0,0.786434,567.5335061154643,0.786501,-0.0057129397064100695
399.0,0.78977,567.5884109130584,0.78977,-0.00244553169278805
400.0,0.790902,567.6433157106524,0.78977,-0.002447126113982123
401.0,0.788407,567.6982205082463,0.788407,-0.003811722971575393
402.0,0.788187,567.7531253058404,0.788407,-0.0038133236218033106
403.0,0.789029,567.8080301034344,0.788187,-0.0040349280662514975
404.0,0.788167,567.8629349010284,0.789029,-0.0031945365250013458
405.0,0.800829,567.9178396986224,0.788244,-0.003981148163179404
406.0,0.788244,567.9727444962164,0.788674,-0.003552763762242672
407.0,0.788674,568.0276492938104,0.788674,-0.0035543828966779767
408.0,0.790726,568.0825540914044,0.788674,-0.0035560055680896596
409.0,0.787011,568.1374588889985,0.788171,-0.00406063177808591
410.0,0.788171,568.1923636865924,0.787453,-0.0047802620278804
411.0,0.787453,568.2472684841864,0.788171,-0.004063897031835739
412.0,0.789238,568.3021732817805,0.789238,-0.002998536078822278
413.0,0.791189,568.3570780793744,0.789238,-0.003000178110404317
414.0,0.787626,568.4119828769684,0.788034,-0.004205823128210273
415.0,0.788034,568.4668876745625,0.787626,-0.004615472329957626
416.0,0.786473,568.5217924721564,0.788034,-0.004209126122295848
417.0,0.791606,568.5766972697505,0.789493,-0.0027517841018451783
418.0,0.789493,568.6316020673445,0.790884,-0.0013624448206788209
419.0,0.790884,568.6865068649385,0.790884,-0.0013641068966318004
420.0,0.798227,568.7414116625325,0.798227,0.005977229668643114
421.0,0.803051,568.7963164601265,0.802969,0.010717572207853632
422.0,0.802969,568.8512212577205,0.802969,0.010715914747064237
423.0,0.801733,568.9061260553145,0.801733,0.009478257286274827
424.0,0.801226,568.9610308529085,0.801508,0.009251599825485401
